"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Gangetic West Bengal",373.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Kerala",387.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Matathwada",113.9
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Coastal Karnataka",456.1
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","East Rajasthan",174.7
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","East Uttar Pradesh",366.8
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Haryana Delhi & Chandigarh",147.6
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","East Madhya Pradesh",408.4
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Assam & Meghalaya",490.9
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","West Madhya Pradesh",182.6
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","West Uttar Pradesh",311.2
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Tamil Nadu",125.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Saurashtra & Kutch",21
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Telangana",118.5
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Lakshadweep",266.5
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Punjab",232.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Jammu & Kashmir",175.6
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Jharkhand",389.6
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Naga Mani Mizo Tripura",535.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Madhya Maharashtra",102.9
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Konkan & Goa",302.6
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Orissa",327.4
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Gujarat Region",76.9
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Arunachal Pradesh",241.8
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","South Interior Karnataka",148.7
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Uttarakhand",493.4
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Andaman & Nicobar Islands",347.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Sub Himalayan West Bengal & Sikkim",639.9
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Rayalseema",85.2
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Vidarbha",143.7
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","North Interior Karnataka",120.8
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Madhya Maharashtra",0.8
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Haryana Delhi & Chandigarh",1.4
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Assam & Meghalaya",3.9
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Konkan & Goa",0
